,Total  users that are registered to the app overall,Total sensors that were ever connected,Average over 7 days of sensors that were active during each night,Number of different sensors were active at least once during the last 7 days,Number of users that received hypnogram at least once over the last week,Total number of sessions that received at least one hypnogram,Average Apnea notifications per person per night over 7 days,Average HR notifications per person per night over 7 days,Average RR notifications per person per night over 7 days,Number of users that have a premium account and logged in at least once (live),Number of users that are currently being followed at least by one premium user (live),Average HR alerts per person per night over 7 days,Average RR alerts per person per night over 7 days,Average BEX alerts per person per night over 7 days
2017-03-06 - 2017-03-12,13165,288,10.5714285714,,50,224,0.0483430011305,0.0,0.0,0,0,0.00357142857143,0.0,0.0
2017-03-13 - 2017-03-19,13969,306,9.42857142857,,53,255,0.0790479651978,0.0,0.0,0,0,0.0,0.0102870416459,0.0
2017-03-20 - 2017-03-26,14635,319,40.8571428571,,61,261,0.0716973270632,0.0,0.0,0,0,0.0,0.0,0.672454591479
2017-03-27 - 2017-04-02,15294,334,41.2857142857,,45,220,0.0856467754308,0.022176022176,0.0,0,0,0.0,0.003663003663,0.968240688756
2017-04-03 - 2017-04-09,15843,340,35.2857142857,,50,226,0.100597536312,0.0529784886928,0.0,0,0,0.0,0.00862290862291,0.874177238463
2017-04-10 - 2017-04-16,16437,346,38.0,63,50,248,0.0915892373209,0.0937475803329,0.00396825396825,0,0,0.0,0.00793650793651,0.744899341851
2017-04-17 - 2017-04-23,17306,355,33.0,58,47,227,0.0702152748236,0.10230052491,0.012519012519,0,0,0.0,0.00943104514533,0.70217798481
2017-04-24 - 2017-04-30,17560,358,29.8571428571,55,46,211,0.0785652508867,0.0772406825978,0.0,0,0,0.0,0.0130356416071,0.643553040874
2017-05-01 - 2017-05-07,18054,370,28.7142857143,52,41,195,0.0593535537918,0.107199828557,0.0,0,0,0.0,0.0,0.66177992485
2017-05-08 - 2017-05-14,18617,375,28.7142857143,48,41,202,0.0596178782447,0.0991450485293,0.0,0,0,0.0,0.0047619047619,0.670703401461
2017-05-15 - 2017-05-21,19073,382,32.2857142857,55,49,210,0.0414909126044,0.0534477679961,0.0,0,0,0.0,0.00595238095238,0.740938832798
2017-05-22 - 2017-05-28,19546,393,30.7142857143,56,46,248,0.0358374958375,0.311637098534,0.273237341809,0,0,0.0,0.0,0.678002362436
2017-05-29 - 2017-06-04,19923,399,31.1428571429,53,44,255,0.0762966954287,0.0524667097036,0.0136992040218,0,0,0.0,0.0,0.702889835986
2017-06-05 - 2017-06-11,20502,409,31.5714285714,60,46,211,0.0406470346759,0.0862030422248,0.00446428571429,0,0,0.0,0.0,0.788812854939
2017-06-12 - 2017-06-18,20826,413,30.0,51,44,212,0.0667816160745,0.0770090177845,0.0,0,0,0.0,0.0,0.872271602543
2017-06-19 - 2017-06-25,21295,419,30.7142857143,55,39,190,0.0718630351298,0.100322957361,0.0,0,0,0.0,0.0,0.791819036625
2017-06-26 - 2017-07-02,21697,429,35.1428571429,56,44,197,0.0605445064274,0.0536912245741,0.00460829493088,0,0,0.0,0.0,0.801308251011
2017-07-03 - 2017-07-09,22127,437,37.1428571429,57,49,242,0.0728759972457,0.0701487802328,0.0,0,0,0.00420168067227,0.0,0.774516112751
2017-07-10 - 2017-07-16,22566,447,37.0,59,51,273,0.0734652963906,0.0759923782147,0.0,0,0,0.0,0.0,0.732829586617
2017-07-17 - 2017-07-23,22928,456,37.7142857143,61,55,298,0.031648889666,0.106798609897,0.00332225913621,0,0,0.0,0.0,0.628120082182
2017-07-24 - 2017-07-30,23230,472,32.8571428571,62,58,225,0.0441511343695,0.102283497903,0.0129855889724,0,0,0.0,0.0,0.547572009202
2017-07-31 - 2017-08-06,23550,487,34.7142857143,68,61,241,0.0811236021329,0.0708971296984,0.0,0,0,0.0,0.0,0.562544533798
2017-08-07 - 2017-08-13,23883,491,35.2857142857,66,61,243,0.0539194904679,0.0550833444776,0.00886243386243,0,0,0.0,0.0,0.68817432086
2017-08-14 - 2017-08-20,24199,497,33.4285714286,60,51,223,0.0551209797767,0.0889851864817,0.0,0,0,0.0,0.0,0.578700379624
2017-08-21 - 2017-08-27,24509,512,34.5714285714,66,58,232,0.0528158443354,0.0494856274707,0.0,0,0,0.0,0.0,0.458735864095
2017-08-28 - 2017-09-03,24872,540,46.2857142857,89,83,312,0.0494012085011,0.0382177177842,0.0,0,0,0.0,0.0,0.47963219771
2017-08-28 - 2017-09-03,24984,546,46.2857142857,89,83,312,0.0494012085011,0.0382177177842,0.0,0,0,0.0,0.0,0.47963219771
2017-08-28 - 2017-09-03,24984,546,46.2857142857,89,83,312,0.0494012085011,0.0382177177842,0.0,0,0,0.0,0.0,0.47963219771
2017-09-25 - 2017-10-01,26223,631,59.7142857143,100,88,415,0.0289640593045,0.109555661283,0.00234192037471,0,0,0.0,0.0,0.610394046135
2017-10-02 - 2017-10-08,26492,641,64.1428571429,110,98,441,0.0256693023562,0.0764919994035,0.00204081632653,0,0,0.00207039337474,0.0,0.588281372485
2017-10-09 - 2017-10-15,26863,663,68.0,121,111,454,0.037952305457,0.0512705485878,0.0,0,0,0.00198412698413,0.0,0.575005692853
2017-10-16 - 2017-10-22,27222,678,67.4285714286,116,102,459,0.0145904095063,0.0654987574732,0.0,0,0,0.0,0.00460017969452,0.559609806218
2017-10-23 - 2017-10-29,27677,708,78.8571428571,128,115,566,0.0107757737241,0.0915184144611,0.00168067226891,0,0,0.00178571428571,0.00210084033613,0.723299963001
