,Total  users that are registered to the app overall,Total sensors that were ever connected,Average over 7 days of sensors that were active during each night,Number of different sensors were active at least once during the last 7 days,Number of users that received hypnogram at least once over the last week,Total number of sessions that received at least one hypnogram,Average Apnea notifications per person per night over 7 days,Average HR notifications per person per night over 7 days,Average RR notifications per person per night over 7 days,Number of users that have a premium account and logged in at least once (live),Number of users that are currently being followed at least by one premium user (live),Average HR alerts per person per night over 7 days,Average RR alerts per person per night over 7 days,Average BEX alerts per person per night over 7 days
2017-03-06 - 2017-03-12,620,281,19.2857142857,,117,527,0.0,0.0,0.0,12,3,0.0,0.0,0.0
2017-03-13 - 2017-03-19,683,306,20.2857142857,,129,564,0.0,0.0,0.0,26,6,0.0,0.0,0.0
2017-03-20 - 2017-03-26,867,349,90.2857142857,,143,635,0.0454502523069,0.0,0.0,35,14,0.0143377561004,0.0062428955346,0.907865466652
2017-03-27 - 2017-04-02,940,374,100.285714286,,142,715,0.0595367064664,0.0559910014461,0.0,28,9,0.00142857142857,0.00566798941799,0.861397671282
2017-04-03 - 2017-04-09,1018,406,98.1428571429,,146,669,0.0759296316353,0.0479533455326,0.0,20,3,0.0,0.00298136645963,0.812849859616
2017-04-10 - 2017-04-16,1050,424,103.428571429,162,145,750,0.0846161016907,0.0724071988187,0.0,23,8,0.0,0.00504698354077,0.760346848057
2017-04-17 - 2017-04-23,1214,490,118.714285714,183,171,818,0.0843328716651,0.0580499524879,0.00536660466567,27,7,0.00133511348465,0.00133511348465,0.704719643079
2017-04-24 - 2017-04-30,1249,500,105.0,165,154,739,0.0665005139747,0.0621915089314,0.00538270369728,29,10,0.00133511348465,0.00831633203523,0.687872126479
2017-05-01 - 2017-05-07,1339,531,104.285714286,170,159,783,0.0626325097159,0.0629966512797,0.00535948309608,34,15,0.00134770889488,0.016568164244,0.760722347155
2017-05-08 - 2017-05-14,1415,551,126.0,181,176,897,0.069353734275,0.0736335932996,0.0102021949707,37,16,0.0085060161973,0.0206403001075,0.745802792264
2017-05-15 - 2017-05-21,1473,571,126.0,189,170,912,0.0527064269098,0.0534041758684,0.00336704626019,36,7,0.0010989010989,0.0113390368184,0.735837039487
2017-05-22 - 2017-05-28,1578,595,131.857142857,206,184,979,0.0713377339218,0.0757947924765,0.0,33,16,0.00109051254089,0.0153312961746,0.746323518675
2017-05-29 - 2017-06-04,1642,611,133.285714286,204,188,1027,0.173044405942,0.0622960682918,0.00423678858793,39,23,0.00555526257965,0.0214820532328,0.798267894682
2017-06-05 - 2017-06-11,1791,654,141.285714286,229,213,1134,0.109918427767,0.11515752291,0.00819745505618,30,18,0.000927643784787,0.0191735703562,0.772116168614
2017-06-12 - 2017-06-18,1875,673,154.857142857,229,216,1445,0.160640501368,0.0843519945367,0.0044420341263,41,27,0.00739408030769,0.0168012299346,0.991827396085
2017-06-19 - 2017-06-25,1952,694,161.428571429,235,220,1811,0.119676592591,0.100260210119,0.00539133458573,31,13,0.00257846142831,0.0105717784224,0.887922339822
2017-06-19 - 2017-06-25,1952,694,161.428571429,235,220,1811,0.119676592591,0.100260210119,0.00539133458573,31,13,0.00257846142831,0.0105717784224,0.887922339822
2017-06-26 - 2017-07-02,2042,734,167.571428571,255,237,1909,0.249073719111,0.103048300569,0.00603896046647,31,8,0.00169061707523,0.00683560834424,0.8925348636
2017-07-03 - 2017-07-09,2187,772,173.0,256,250,1929,0.259769863176,0.0772467218473,0.0203052080438,33,38,0.0,0.00648463798322,0.996908181501
2017-07-10 - 2017-07-16,2295,812,184.714285714,268,248,2223,0.26323567341,0.128330020551,0.0127035311331,34,7,0.0,0.00619999017641,0.949599280831
