,Total  users that are registered to the app overall,Total sensors that were ever connected,Average over 7 days of sensors that were active during each night,Number of different sensors were active at least once during the last 7 days,Number of users that received hypnogram at least once over the last week,Total number of sessions that received at least one hypnogram,Average Apnea notifications per person per night over 7 days,Average HR notifications per person per night over 7 days,Average RR notifications per person per night over 7 days,Number of users that have a premium account and logged in at least once (live),Number of users that are currently being followed at least by one premium user (live),Average HR alerts per person per night over 7 days,Average RR alerts per person per night over 7 days,Average BEX alerts per person per night over 7 days
2017-03-06 - 2017-03-12,221,90,4.28571428571,,28,142,0.0719272850254,0.0,0.0,0,0,0.0,0.0,0.0
2017-03-13 - 2017-03-19,222,91,4.0,,28,120,0.0716862502577,0.0,0.0,0,0,0.0,0.0,0.0
2017-03-20 - 2017-03-26,225,94,15.0,,25,101,0.0826715534699,0.0,0.0,0,0,0.0,0.0,0.0
2017-03-27 - 2017-04-02,229,96,17.4285714286,,25,116,0.0800628465102,0.0997332346017,0.0,0,0,0.0,0.0,0.0
2017-04-03 - 2017-04-09,236,102,15.4285714286,,24,104,0.112710084034,0.0779178338002,0.0,0,0,0.0,0.0,0.0
2017-04-10 - 2017-04-16,238,102,17.0,27,26,115,0.0770108043217,0.0330065359477,0.0,0,0,0.0,0.0,0.0
2017-04-17 - 2017-04-23,250,105,17.1428571429,30,30,153,0.0891063442921,0.122878274117,0.010989010989,0,0,0.0,0.0,0.0
2017-04-24 - 2017-04-30,256,108,15.8571428571,28,28,104,0.0706498388829,0.100725026853,0.0,0,0,0.0,0.0,0.0
2017-05-01 - 2017-05-07,264,111,14.7142857143,31,30,101,0.200796227582,0.0618815708101,0.0,0,0,0.0,0.0,0.0
2017-05-08 - 2017-05-14,283,118,16.7142857143,30,28,105,0.0829365079365,0.0333333333333,0.0,0,0,0.0,0.0,0.0
2017-05-15 - 2017-05-21,291,119,18.0,29,27,128,0.0728333757746,0.0901854681266,0.0,0,0,0.0,0.0,0.0
2017-05-22 - 2017-05-28,295,122,15.8571428571,29,26,111,0.124637311065,0.0948754063029,0.0,0,0,0.0,0.0,0.0
2017-05-29 - 2017-06-04,300,122,13.8571428571,29,24,92,0.0714105339105,0.141215728716,0.0,0,0,0.0,0.0,0.0
2017-06-05 - 2017-06-11,302,122,12.5714285714,19,19,87,0.0727536352536,0.117779442779,0.0,0,0,0.0,0.0,0.0
2017-06-12 - 2017-06-18,304,124,10.8571428571,16,15,73,0.0936951936952,0.0395604395604,0.0,0,0,0.0,0.0,0.0
2017-06-19 - 2017-06-25,322,128,11.7142857143,23,20,68,0.074778396207,0.0751803751804,0.0,0,0,0.0,0.0,0.0
2017-06-26 - 2017-07-02,323,129,10.2857142857,20,18,73,0.11949241235,0.0693223443223,0.0,0,0,0.0,0.0,0.0
2017-07-03 - 2017-07-09,324,130,7.71428571429,12,11,55,0.127551020408,0.104308390023,0.0,0,0,0.0,0.0,0.0
2017-07-10 - 2017-07-16,328,131,9.28571428571,15,15,68,0.124494949495,0.0898629148629,0.0,0,0,0.0,0.0,0.0
2017-07-17 - 2017-07-23,331,133,14.4285714286,23,22,99,0.0889207198031,0.127015957898,0.0,0,0,0.0,0.0,0.0
2017-07-24 - 2017-07-30,331,133,10.0,18,16,67,0.0471671185957,0.118661100804,0.0,0,0,0.0,0.0,0.0
2017-07-31 - 2017-08-06,342,134,11.4285714286,16,15,82,0.138173731031,0.124376417234,0.0,0,0,0.0,0.0,0.0
2017-08-07 - 2017-08-13,343,135,12.2857142857,19,19,87,0.08476146869,0.12574132217,0.0,0,0,0.0,0.0,0.0
2017-08-14 - 2017-08-20,345,137,13.8571428571,22,22,103,0.0641120783978,0.0628365681937,0.0,0,0,0.0,0.0,0.0
2017-08-21 - 2017-08-27,347,137,12.0,16,16,81,0.095868417297,0.0598568098568,0.0,0,0,0.0,0.0,0.0
2017-08-28 - 2017-09-03,348,137,13.0,21,19,90,0.0915744969316,0.0997805765663,0.0,0,0,0.0,0.0,0.0
2017-08-28 - 2017-09-03,348,137,13.0,21,19,90,0.0915744969316,0.0997805765663,0.0,0,0,0.0,0.0,0.0
2017-08-30 - 2017-09-05,349,138,12.8571428571,14,19,91,0.0822861662147,0.100696327482,0.0,0,0,0.0,0.0,0.0
2017-09-25 - 2017-10-01,355,139,11.2857142857,15,15,72,0.129603729604,0.0880452880453,0.0,0,0,0.0,0.0,0.0
2017-10-02 - 2017-10-08,355,139,9.14285714286,14,13,63,0.103525046382,0.047680890538,0.0,0,0,0.0,0.0,0.0
2017-10-09 - 2017-10-15,363,144,10.8571428571,17,15,70,0.131646131646,0.0691197691198,0.0,0,0,0.0,0.0,0.0
2017-10-16 - 2017-10-22,365,145,9.85714285714,17,17,66,0.101360544218,0.0666666666667,0.0,0,0,0.0,0.0,0.0
2017-10-23 - 2017-10-29,367,145,9.57142857143,14,14,65,0.17133580705,0.141790352505,0.0,0,0,0.0,0.0,0.0
