14:50:53 - 23-08-17    INFO    Starting New Import
14:50:53 - 23-08-17    INFO    -------------------------------------
14:50:53 - 23-08-17    INFO    New Checking beurer Folder
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-05.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  48.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-12.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  41.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-19.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  34.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-26.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  27.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-02.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-09.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-16.tar.gz
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  6.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-03-29.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-03.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  51.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-10.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  44.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-17.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  37.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-24.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  30.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-08-07.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:50:53 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-08-21.csv
14:50:53 - 23-08-17    INFO    Amount of days that this file is open:  2.0
14:50:53 - 23-08-17    INFO    I found the filename:  StatisticsSummary-brr-2017-08-21.csv suitable - Copying it now
14:50:53 - 23-08-17    INFO    Starting the deletion of beurer part In DB
14:50:53 - 23-08-17    WARN    Deleting data From DB according to the following command:  DELETE FROM grafana.live_reports WHERE partner='beurer'
14:52:06 - 23-08-17    INFO    Starting New Import
14:52:06 - 23-08-17    INFO    -------------------------------------
14:52:06 - 23-08-17    INFO    New Checking beurer Folder
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-05.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  48.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-12.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  41.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-19.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  34.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-07-26.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  27.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-02.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-09.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  csv-files-br-2017-08-16.tar.gz
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  6.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-.csv
14:52:06 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:52:06 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-03-29.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-03.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  51.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-10.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  44.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-17.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  37.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-07-24.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  30.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-08-07.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-brr-2017-08-21.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  2.0
14:52:07 - 23-08-17    WARN    Starting Files Deletion
14:52:07 - 23-08-17    INFO    -------------------------------------
14:52:07 - 23-08-17    INFO    New Checking live Folder
14:52:07 - 23-08-17    INFO    File exist. Filename:  .csv-files-lv-2017-05-24.tar.gz.01HMpw
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  34.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  .csv-files-lv-2017-06-14.tar.gz.aLx8g1
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  13.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  .csv-files-lv-2017-06-21.tar.gz.IOWGMn
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  6.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  .csv-files-lv-2017-07-05.tar.gz.9EZmFg
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  all.xlsx.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  146.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-05-03.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-05-10.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-05-17.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-05-24.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-05-31.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-06-07.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-06-14.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-06-21.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-06-28.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-07-05.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  48.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-07-12.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  37.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-07-19.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  30.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-07-26.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  27.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-08-02.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  16.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-08-09.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  9.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  csv-files-lv-2017-08-16.tar.gz
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  2.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-03-29.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-04-05.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-04-10.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-04-17.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-04-24.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-04-30.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-05-01.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-05-08.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-05-15.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-05-22.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-05-29.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
14:52:07 - 23-08-17    INFO    File exist. Filename:  StatisticsSummary-liv-2017-06-05.csv
14:52:07 - 23-08-17    INFO    Amount of days that this file is open:  20.0
